PRODUCTNAME,CATEGORY
 the mango,tea
Arizona,soft drink PET
Arizona PET 5 dl,soft drink PET
Assiette 1,lunch meal
Assiette 1 emporter (2.5%),lunch meal
Assiette du Soir,evening meal
Assiette garniture 8.-,lunch meal
Automate Novae Boissons,drinks vm
Bagna Nicois,sandwich
Bagnat 5,sandwich
"Bagnat 5,50",sandwich
Balisto,wrapped snack
Balisto 1.60,wrapped snack
Ballon Céréales 0.90,bread
Ballon de pain complet,bread
Ballon pain 1.-,bread
Barre Caillers,wrapped snack
Barres Cailler,wrapped snack
Baton Amande,pastry
Beef Burger Frites,lunch meal
Bircher,healthy snack
Boisson,drink other
Boisson 3.50,drink other
Boule Berlin,viennoiserie
Boule Berlin 2.90,viennoiserie
Boule Lindor,small chocolate
Boule Lindt ,small chocolate
Boule de Berlin,viennoiserie
Boule de berlin,viennoiserie
Boule lindor,small chocolate
Boules Chocolat,small chocolate
Bounty,wrapped snack
Bounty 1.80,wrapped snack
Branche Cailler L,wrapped snack
Branche Cailler M,wrapped snack
Branche Cailler S,wrapped snack
Bretzel,salty snack
Brioche,viennoiserie
Brioche 2.20,viennoiserie
Brioche à Tête,viennoiserie
Brownie,pastry
Brownies,pastry
Brownies 2.50,pastry
Buffet Végétarien,lunch meal
Burger chips,lunch meal
Bâton aux Amandes et Vanille,pastry
COOKIES,pastry
Cafe latte sirop,cappuccino_latte
Cafe milano,cappuccino_latte
Caffé Latte,cappuccino_latte
Caffé Latté,cappuccino_latte
Caffé latte,cappuccino_latte
Café,coffee
Café 2.00,coffee
Café Double 3.20,coffee
Café Renversé 2.20,cappuccino_latte
Café double,coffee
Café double ,coffee
Café kg,coffee
Café latte sirop,cappuccino_latte
Café long,coffee
Café milano,cappuccino_latte
Café renversé,cappuccino_latte
Café/ Thé,coffee
Caotina Drink,soft drink PET
Caotina drink,soft drink PET
Cappuccino,cappuccino_latte
Cappucino,cappuccino_latte
Carac,pastry
Carac 2.90,pastry
Caraque,pastry
Chausson Pommes,viennoiserie
Chausson aux pommes,viennoiserie
Chausson pommes,viennoiserie
Chausson pommes 2.50,viennoiserie
Chewing Gum 1.60,sweets
Chewing Gum 3.50,sweets
Chewing gum 1.60,sweets
Chichi,pastry
Chips,salty wrapped snack
Chips 1.50,salty wrapped snack
Chips 1.80,salty wrapped snack
Chips 2.20,salty wrapped snack
"Chips nature, paprika",salty wrapped snack
Choco X'tra 1.80,wrapped snack
Chocolat,small chocolate
Chocolat / Ovomaltine /Caotina,hot choco
Chocolat 1.80,small chocolate
Chocolat Chaud,hot choco
Chocolat chaud,hot choco
Chocolat chaud 2.50,hot choco
Ciabatta,sandwich
Coca 1.5 l,soft drink PET
Coca 50,soft drink PET
Coca Boite,soft drink can
Coca-Cola PET 5dl,soft drink PET
Coca-cola ,soft drink PET
Coca-cola 1l,soft drink PET
Coca-cola Canette,soft drink can
Combo,lunch meal
Confiserie divers,sweets
Cookies,pastry
Coupelle dessert,desert
Crepes nutella,sweet crepe
Croissant,viennoiserie
Croissant Beure 1.50,viennoiserie
Croissant Cailler,viennoiserie
Croissant Complet,viennoiserie
Croissant Fourré 2.20,viennoiserie
Croissant Jambon,salty pastry
Croissant Jambon 2.20,salty pastry
Croissant Praliné,viennoiserie
Croissant Rustico,viennoiserie
Croissant amandes,viennoiserie
Croissant au Beurre,viennoiserie
Croissant complet,viennoiserie
Croissant fourré,viennoiserie
Croissant jambon fromage,salty pastry
Croissant nature,viennoiserie
Croissant praliné,viennoiserie
Croque Monsieur,sandwich
Croque monsieur,sandwich
Cuchaule,viennoiserie
Cuchaule 2.20,viennoiserie
Demi baguette J/Fromage,sandwich
Dessert 1.50,desert
Dessert 2.-,desert
Dessert 2.50,desert
Dessert 3.-,desert
Dessert 3.20,desert
Dessert 4.60,desert
Dessert Pâtisserie 3.00,pastry
Dessert coupelle 3.50,desert
Dessert du Jour 3.00,desert
Dessert du jour 3.90,desert
Dessert jour,desert
Dessert jour 4.-,desert
Divers 1.50,other
Divers 2.50,other
Divers Boissons Froides,drink other
Divers Cafés,coffee
Divers Conso,other
Divers Consommations,drink other
Divers Cuisine,condiment
Divers Kiosque,other
Donut,pastry
Donut 2.20,pastry
Donuts,pastry
Donuts 2.-,pastry
Délice Garnie,salty pastry
Délice v/séchée,salty pastry
ENERGY MILK 3.5,drink other
ENERGY-MILK,drink other
Eat Natural,wrapped snack
Eau,water
Eau A/Gaz pet 50 1.80,water
Eau Arômatisée 75cl,water
Eau Gazeuse,water
Eau Minérale Pet150 3.00,water
Eau aromatisé pet 50 2.50,water
Eau arômatisée,water
Eau minérale 1.90,water
Eau minérale PET 5dl,water
Eclair,pastry
Energy Drink,energy drink
Energy Milk,drink other
Energy milk,drink other
Energy milk 2.90,drink other
Erdinger,beer
Erdinger 0.3,beer
Erdinger 0.5,beer
Erdinger 33cl,beer
Escargot,viennoiserie
Escargot 2.20,viennoiserie
Escargot Plunder,pastry
Espresso / Ristretto,coffee
Evian,water
Extréme ,ice cream
Extrême,ice cream
Feuilleté Divers,salty pastry
Foccacia,pizza
Formule burger/potatoes +PET50,lunch meal
Formule petit déj,breakfast combo
Formule pâtes +PET50,lunch meal
Frivolité Framboise,desert
Fruit 1.-,fruit
Fruit 1.20,fruit
Fruit 1.50,fruit
Fruit Etudiant,fruit
Fruit Pièce 1.20,fruit
Fruits,fruit
Fruits Frais,fruit
"Fruits de la corbeille , a la piece",fruit
Galettes 11.-,lunch meal
Galettes 9.-,lunch meal
Gateau,pastry
Gauffre Liégeoise 2.90,pastry
Gaufre,pastry
Gaufre 3..20,pastry
Gaufre 3.20,pastry
Glace Artisan pot 3.20,ice cream
Glace L 3.20,ice cream
Glace M,ice cream
Glace M 2.50,ice cream
Glace S,ice cream
Glace S 2.20,ice cream
Glace XL 3.50,ice cream
Grand Pain Chocolat,viennoiserie
Granini / Michel  PET 3dl,fruit juice bottle
Granini / Michel 2dl,fruit juice bottle
Granini 25cl,fruit juice bottle
Granini 2dl,fruit juice bottle
Granini 33,fruit juice bottle
Granini 33cl,fruit juice bottle
Granini 33dl,fruit juice bottle
Granini 50cl,fruit juice bottle
Granini Cocktail PET 3dl,fruit juice bottle
Grillade,lunch meal
Gâteau,pastry
Heineken,beer
Heineken 50 cl,beer
Henniez,water
Henniez 1.5 L,water
Henniez 1L,water
Henniez 5dl,water
Henniez Bleu 1l,water
Henniez bleu,water
Henniez verte 1l,water
Henniez verte 50cl,water
Jus Fruits Frais verre 2 dl 0.90,fresh juice
Jus Orange 2dl,fruit juice bottle
Jus Orange 3dl,fruit juice bottle
Jus Pomme 5dl,fruit juice bottle
Jus d'orange pressé 2dl,fresh juice
Jus de Pomme,fruit juice bottle
Jus de Pomme ,fruit juice bottle
Jus fruits brik 25 1.80,fruit juice bottle
Jus michel bouteille 2 dl verre,fruit juice bottle
Jus orange pressé 3 dl,fresh juice
KINDER Bueno,wrapped snack
Kagifret,wrapped snack
Kebab pain libanais,kebab
Kg fruits,fruit
Kilkenny 33cl,beer
Kinder Bueno,wrapped snack
Kinder Bueno 1.80,wrapped snack
Kinder bueno,wrapped snack
Kiosque 2.5,other
Kiosque 5.50,other
Kiosque 6.50,other
Kiosque 7.7,other
Kit Kat,wrapped snack
Kit Kat 1.80,wrapped snack
KitKat,wrapped snack
LASAGNE,lunch meal
Lait,hot choco
Lasagne,lunch meal
Levain au jambon fumé,sandwich
M&M's,wrapped snack
M&M's 1.80,wrapped snack
MENU I,lunch meal
"MENU II ""Fourchette Verte""",lunch meal
MENU VEGETARIEN,lunch meal
Macchiato,cappuccino_latte
Maltesers,wrapped snack
Maltesers 1.80,wrapped snack
Mars,wrapped snack
Mars 1.80,wrapped snack
Max Pain Choco,viennoiserie
Maxi pain choc,viennoiserie
MaxiBon,ice cream
Maxibon,ice cream
Mayo / Ketchup,condiment
Menu,lunch meal
Menu 10.00,lunch meal
Menu 11.-,lunch meal
Menu 11.00,lunch meal
Menu 12.00,lunch meal
Menu 13.00,lunch meal
Menu 14.00,lunch meal
Menu 15.-,lunch meal
Menu 16.-,lunch meal
Menu 18.-,lunch meal
Menu 9.00,lunch meal
Menu Brasserie,lunch meal
Menu DMX,lunch meal
Menu Sandwich,lunch meal
Menu VG 12.-,lunch meal
Menu à 20-,lunch meal
Menu à 24-,lunch meal
Mille Feuilles,pastry
Mille-Feuilles,pastry
Mini Mars,wrapped snack
Mini Pizza,pizza
Mini Pizza 2.40,pizza
Mini pchoc / praisins 0.80,viennoiserie
Mini viennoiserie,viennoiserie
Mini viennoiserie 1.20,viennoiserie
Mix It,other
Muffin,pastry
Muffin 2.90,pastry
Muffin 4.1,pastry
Muffins,pastry
Muffins 3.-,pastry
Muffins 3.50,pastry
Nestea PET 5dl,soft drink PET
Oeuf Dur,salty snack
Offre du Jour,lunch meal
Orangina,soft drink PET
Orangina pet 33 2.90,soft drink PET
Ovo/Suchard/Caotina,hot choco
PANINI emporter,panini
PDJ 1,breakfast combo
PDJ 2,breakfast combo
PET 50cl,soft drink PET
Pain Chocolat,viennoiserie
Pain Chocolat 2.20,viennoiserie
Pain Chocolat XL 2.60,viennoiserie
Pain Sucre,viennoiserie
Pain au Lait,viennoiserie
Pain au Raisin,viennoiserie
Pain au chocolat,viennoiserie
Pain au lait ,viennoiserie
Pain au sucre,viennoiserie
Pain aux Raisins,viennoiserie
Pain aux olives,bread
Pain chocolat,viennoiserie
Pain chocolat MAXI,viennoiserie
Pain à la creme,viennoiserie
Panini,panini
Panini 6.50,panini
Panini à choix,panini
Part tarte ,pastry
Part tarte cuisine 3.50,pastry
Part tarte kiosque 3.50,pastry
Pastel de Nata,desert
Patisserie,pastry
Pechérèsse,beer
Petit Déj Duo + 4.-,breakfast combo
Petit Déj Duo 3.20,breakfast combo
Petit déj 1,breakfast combo
Petit déj 2,breakfast combo
Petit pain au lait,bread
Petite Salade,salad
Petite barre Cailler,small chocolate
Petite salade,salad
Petite salade melée,salad
Piece Sechée (petite Tartelette),pastry
Pizza,pizza
Pizza 10.40,pizza
Pizza 12.50,pizza
Pizza 13.50,pizza
Pizza 15.00,pizza
Pizza 8.50,pizza
Pizza 9.50,pizza
Pomme > Menu,fruit
Potage,soup
Potage > Menu,soup
Pr Laitier 1.50,other
Pr Laitier 1.90,other
Pr Laitier 2.20,other
Pr Laitier 2.90,other
Pralinato,ice cream
Pâtes,lunch meal
Pâtes 8.00,lunch meal
Pâtes 9.00,lunch meal
Pâtes cuisine,lunch meal
Pècheresse,beer
Quiche part,salty pastry
Ragusa,wrapped snack
Ragusa 2.00,wrapped snack
Ragusa Noir (petit),small chocolate
Ramequin,salty pastry
Ramequin 3.00,salty pastry
Ramequin 3.50,salty pastry
Ramequin au Fromage,salty pastry
Ramequin au fromage,salty pastry
Red Bull,energy drink
Red Bull / CarpeDiem,energy drink
Renversé,cappuccino_latte
Rissole à la Viande,salty pastry
Rivella,soft drink PET
Rivella rouge,soft drink PET
Rôtisserie,lunch meal
SABLE,pastry
SALADE BUFFET,salad buffet
SNACK,sugar snack
Sablé 2.90,pastry
Salade,salad
Salade 3-,salad
Salade 7.50,salad
Salade Barquette,salad
Salade Concept 7.50,salad
Salade Fruits Frais 150 3.00,desert
Salade L 8.50,salad
Salade Le Bol,salad
Salade M 5.50,salad
Salade S 3.50,salad
Salade VG,salad
Salade XS,salad
Salade XS 3.20,salad
Salade big,salad
Salade buffet,salad buffet
Salade composée 5.50,salad
Salade concept 5.50,salad
Salade concept 8.50,salad
Salade cuisine 8.50,salad
Salade de Fruits,desert
Salade kiosque 8.50,salad
Salade mêlée,salad
Salade simple 3.20,salad
Salade simple 3.50,salad
Salade verte,salad
Salade verte 2.-,salad
Salade verte 2.50,salad
San Miguel,beer
Sand Protéine,other
Sandwich,sandwich
Sandwich 2.50,sandwich
Sandwich 2.50 K,sandwich
Sandwich 3.00,sandwich
Sandwich 4.-,sandwich
Sandwich 4.00,sandwich
Sandwich 5.-,sandwich
Sandwich 5.00,sandwich
Sandwich 5.2,sandwich
Sandwich 5.50,sandwich
Sandwich 5.50 K,sandwich
Sandwich 5.8,sandwich
Sandwich 6.-,sandwich
Sandwich 6.00,sandwich
Sandwich 6.2,sandwich
Sandwich 6.50,sandwich
Sandwich 7.-,sandwich
Sandwich 7.00,sandwich
Sandwich 7.50,sandwich
Sandwich 7.50 K,sandwich
Sandwich Baguette,sandwich
Sandwich Délice 2.50,salty pastry
Sandwich Maison,sandwich
Sandwich baguette,sandwich
Sandwich délice,salty pastry
Sandwich maison,sandwich
Sandwich small,sandwich
Sauce Sachet,condiment
Selecta Compass SG Alassio,coffee vm
Selecta Compass SG Milano,coffee vm
Selecta Compass SG Santafe,snack vm
Selecta Compass SG StTropez,drinks vm
Selecta Compass SG Verona,vending machine
Selecta_BI_MILANO,coffee vm
Selecta_BI_SANTA_FE,snack vm
Smoothie Frais 4.50,fresh juice
Smoothie frais,fresh juice
Smoothie pet 25 3.90,fruit juice bottle
Snickers,wrapped snack
Snickers 1.80,wrapped snack
Soda PET5dl 2.50,soft drink PET
Soda/Nestea PET 5dl,soft drink PET
Sodas 2.50,soft drink PET
Sodas 2.90,soft drink PET
Sodas 3.20,soft drink PET
Sodas 3.90,soft drink PET
Soupe,soup
Soupe 3 dl,soup
Soupe 3.50,soup
Soupe Grande 5.50,soup
Soupe Petite 3.00,soup
Sprite Fanta pet 50 2.50,soft drink PET
St Pellegrino,water
Stick Mövenpick,ice cream
Stimorol,sweets
Stimorol 40mn,sweets
Suggestion 1,lunch meal
Suggestion 2,lunch meal
Supp. roastbeef,condiment
Supplément Burger,condiment
Supplément Jambon Cru,condiment
Taille Greubon,salty pastry
Take Away ,lunch meal
Tarte Kiosque,pastry
Tarte Tranche,pastry
Tarte au citron,pastry
Tarte aux Fruits,pastry
Tarte divers,pastry
Tarte kiosque 3.50,pastry
Tartelette,pastry
Tartelette 2.20-,pastry
Tartelette 3.50,pastry
Tartelette 3.90,pastry
Tartelette 4,pastry
Tartelette M,pastry
Tartelette S,pastry
Tartine,viennoiserie
Tea froid,soft drink PET
Thé,tea
Thé 2.00,tea
Thé en sachet Lipton,tea
Thé froid,soft drink PET
Thé froid 1.5 l,soft drink PET
Thé froid 1L,soft drink PET
Toblerone,wrapped snack
Toblerone 1.60,wrapped snack
Torino,wrapped snack
Torino 1.80,wrapped snack
Torsade,salty pastry
Torsadé,salty pastry
Torsadé chocolat,viennoiserie
Tranche de Pain,bread
Tranche pain,bread
Tranche tarte 3.50,pastry
Tranche tarte 3.90,pastry
Triangolo,sandwich
Twix,wrapped snack
Twix 1.80,wrapped snack
Twix MarsStick,ice cream
Valser,water
Verre Jus Opaline,fresh juice
Verre jus opaline 2dl,fresh juice
Verre jus opaline 3dl,fresh juice
Verre jus orange 0.90,fresh juice
Verre jus orange 100% 2dl,fresh juice
Verre jus orange 2.-,fresh juice
Vinaigrette 0.90,condiment
Volvic,soft drink PET
Volvic ,soft drink PET
Volvic Thé,soft drink PET
Wraps 6.00,wrap
Y-4 plus,other
Yahourt aux Fruits,yaourt
Yaourt,yaourt
Yaourt 2.50,yaourt
Yaourt 2.90,yaourt
Yoghourt,yaourt
Yoghourt Crémo,yaourt
Yoghourt Hirz,yaourt
Yogurt 1.20,yaourt
boisson,drink other
cafe lavazza,coffee
café au lait,cappuccino_latte
caraque,pastry
chichi,pastry
coca-cola,soft drink PET
compote 2.10,desert
croissant beurre,viennoiserie
croissant complet beurre,viennoiserie
croix vanille,viennoiserie
donuts,pastry
energy milk,drink other
entrecôte,lunch meal
granini,fruit juice bottle
grillade,lunch meal
grillade 13.50chf,lunch meal
henniez verte,water
lait,hot choco
maltesers,wrapped snack
menu vege11.00,lunch meal
oeuf dur,salty snack
pasta,lunch meal
salade,salad
salade big,salad
salade verte,salad
volvic 0.75cl,soft drink PET
zzz,coffee